;Descricao;Preco
171;Processador Intel Pentium Gold G6405, 4.1GHz, Cache 4MB, LGA 1200;R$ 549,00
172;Processador Intel Core I9-10900F, 10ª Geração, 2.8GHz (5.2GHz Turbo), Cache 20MB, LGA 1200 - BX8070110900F;R$ 3.596,89
173;Processador Intel I7-8700 4.6GHz, Cache 12MB, 12 Threads - Fclga1151;R$ 982,14
174;Processador Intel Core I5 3470, 2.9GHZ (3.6ghz Turbo), 4 cores, 4 threads, LGA 1155 Oem;R$ 288,00
175;Processador I7 2600, 3.40ghz, DDR3, LGA 1155, 2°geração Oem Intel;R$ 518,61
176;Processador Gamer Core I5-4590, 4 Núc., 3.7ghz, Gráf. Integ.;R$ 260,10
177;Processador Intel I3-10105F, 3.7GHz, Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110105F;R$ 525,52
178;Processador Intel I3-6100, 3.70GHz, Cache 3MB, Dual Core, 4 Threads, FCLGA 1151, OEM;R$ 286,90
179;Processador Intel 11700F Core I7 11ª Geração, 2.50GHz, Box - BX8070811700F.;R$ 2.033,99
180;Processador 1151, Intel Core I3 6100, 3.7ghz/3MB S/coolertray 6º G - I3-6100;R$ 145,49
181;Processador Intel Core I7 6700, 6ª Geração, 3.40ghz, 8MB Oem 1151;R$ 608,90
182;Processador Intel Pentium G2030, 3.0ghz, LGA 1155;R$ 128,24
183;Processador Intel Core Ultra 7 265kf Arrow Lake 3.9ghz 5.5ghz;R$ 3.030,32
184;Processador Intel Core I3-10105F, 3.70GHz (4.4GHz Turbo), Cache 6MB, Quad Core, LGA 1200 - BX8070110105F;R$ 521,10
185;Processador Intel Core I7-10700, 2.90GHz (4.8GHz Turbo), Cache 16MB, LGA 1200 - BX8070110700;R$ 2.359,50
186;Processador Intel Core I9 14900f, 5.80ghz, Max Turbo, 24-core, 32-threads, LGA1700;R$ 3.858,32
187;Processador Intel Core I3 2120, 3.30GHz, Cache 3MB, LGA 1155;R$ 170,91
188;Processador Intel Core I3-3220, 3ª Geracao, Soquete: 1155;R$ 107,26
189;Processador Intel Pentium E2160, 1.80GHz, Cache 1MB, Dual Core, 2 Threads, LGA775;R$ 31,88
190;Processador Intel Core I5-10600K, 4.1GHz (4.8GHz Max Turbo), Cache 12MB, LGA 1200 - BX8070110600K;R$ 2.044,25
191;Processador Intel I5-7500t / 3.30ghz / 6mb Cache / FcLGA 1151;R$ 354,36
192;Processador Intel Core I7 13700k Lga 1700 3.4ghz (5.4ghz Max Turbo) Cache 30MB 16 Núcleos 24 Threads - Bx8071513700k;R$ 3.420,30
193;Processador Intel Core I3-10105f 3.7GHz-4.4GHz, Sem Vídeo - Bx8070110105f;R$ 657,84
194;Processador Intel Core I5 2xxx 3.1ghz LGA 1155 Oem;R$ 157,90
195;Processador Intel Core I7-11700K, 3.6GHz (4.9GHz Turbo), Cache 16MB, 12 Threads, LGA 1200 - BX8070811700K;R$ 2.159,10
196;Processador Intel Core I3-12100F 2.9, LGA 1700 - BX8071512100Fi;R$ 737,67
197;Processador Intel I7-2600, 3.80ghz, 8mb, Cache - FcLGA;R$ 310,93
198;Processador Intel Core i5 11400F 2.60GHz;R$ 1.052,99
199;Processador Intel Core I7 14700k, 5.60ghz Max Turbo, 20-core, 28-threads, LGA 1700;R$ 2.939,12
200;Processador Intel Core I9-10900F, 2.80GHz, Cache 20MB, 10 Núcleos, 20 Threads, FCLGA 1200, Intel UHD Graphics 630;R$ 2.663,99
201;Processador Intel I3-12100F, 3.3GHz, Cache 12MB, Quad Core, 8 Threads, LGA 1700 - BX8071512100F;R$ 592,42
202;Processador Intel Core I5 4570, 3.20GHz, Cache 6MB, LGA 1150;R$ 179,99
203;Processador Intel Core I7 6700 3.4ghz 1151 Oem;R$ 806,62
204;Processador Intel Core I9 13900K, 5.80GHz Max Turbo, Cache 36MB, Quad Core, 32 Threads, LGA 1700;R$ 4.635,92
205;Processador Intel I7-4770,3,9ghz,8MB Cache - FCLGA1150;R$ 360,37
206;Processador Intel Core I5 - 10400F, 2.9GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200;R$ 999,90
207;Processador Intel Celeron G1820, 2.70GHz, Cache 2MB, Dual Core, 2 Threads, LGA 1150 - BX80646G1820;R$ 376,31
208;Processador Intel Core I3-10100f, 4- Core, 8-threads, 3.6ghz (4.3ghz Turbo), Cache 6mb, LGA 1200, Bx80;R$ 899,00
209;Processador Intel Core Pentium G4400t 2.90ghz 3mb Cache 1151 Oem;R$ 357,97
210;Processador Intel Core I7-2600 LGA 1155 Oem;R$ 357,97
211;Processador Intel Core I7 4770;R$ 623,11
212;Processador Intel Sk1151 Core I7 6700 3.40ghz Oem Sem Cooler;R$ 637,50
213;Kit 3 Cooler LED 120mm Dex ARGB 120mm - Dx123a;R$ 227,87
